Model Year,Make,Model,Fuel Type,CO2 Emissions(g/km)
2022,Acura,ILX,Z,200
2022,Acura,MDX SH-AWD,Z,263
2022,Acura,RDX SH-AWD,Z,232
2022,Acura,RDX SH-AWD A-SPEC,Z,242
2022,Acura,TLX SH-AWD,Z,230
2022,Acura,TLX SH-AWD A-SPEC,Z,231
2022,Acura,TLX Type S,Z,256
2022,Acura,TLX Type S (Performance Tire),Z,261
2022,Alfa Romeo,Giulia,Z,205
2022,Alfa Romeo,Giulia AWD,Z,217
2022,Alfa Romeo,Giulia Quadrifoglio,Z,271
2022,Alfa Romeo,Stelvio,Z,218
2022,Alfa Romeo,Stelvio AWD,Z,226
2022,Alfa Romeo,Stelvio AWD Quadrifoglio,Z,288
2022,Aston Martin,DB11 V8,Z,271
2022,Aston Martin,DB11 V12,Z,324
2022,Aston Martin,DBS V12,Z,324
2022,Aston Martin,DBX V8,Z,343
2022,Aston Martin,Vantage V8,Z,270
2022,Audi,A3 Sedan 40 TFSI quattro,X,178
2022,Audi,A4 Sedan 40 TFSI quattro,Z,190
2022,Audi,A4 Sedan 45 TFSI quattro,Z,205
2022,Audi,A4 allroad 45 TFSI quattro,Z,208
2022,Audi,A5 Cabriolet 45 TFSI quattro,Z,214
2022,Audi,A5 Coupe 45 TFSI quattro,Z,205
2022,Audi,A5 Sportback 45 TFSI quattro,Z,205
2022,Audi,A6 Sedan 45 TFSI quattro,Z,208
2022,Audi,A6 Sedan 55 TFSI quattro,Z,224
2022,Audi,A6 allroad 55 TFSI quattro,Z,234
2022,Audi,A7 Sportback 55 TFSI quattro,Z,224
2022,Audi,A8 L Sedan 55 TFSI quattro,Z,248
2022,Audi,Q3 40 TFSI quattro,X,215
2022,Audi,Q3 45 TFSI quattro,X,233
2022,Audi,Q5 40 TFSI quattro,Z,217
2022,Audi,Q5 45 TFSI quattro,Z,220
2022,Audi,Q5 Sportback 45 TFSI quattro,Z,220
2022,Audi,Q7 45 TFSI quattro,Z,252
2022,Audi,Q7 55 TFSI quattro,Z,273
2022,Audi,Q8 55 TFSI quattro,Z,273
2022,Audi,R8 Coupe Performance,Z,322
2022,Audi,R8 Coupe Performance quattro,Z,356
2022,Audi,R8 Spyder Performance,Z,322
2022,Audi,R8 Spyder Performance quattro,Z,356
2022,Audi,RS 5 Coupe quattro,Z,267
2022,Audi,RS 5 Sportback quattro,Z,268
2022,Audi,RS 6 Avant quattro,Z,319
2022,Audi,RS 7 Sportback quattro,Z,315
2022,Audi,RS Q8 quattro,Z,360
2022,Audi,S3 Sedan quattro,Z,206
2022,Audi,S4 Sedan quattro,Z,227
2022,Audi,S5 Cabriolet quattro,Z,233
2022,Audi,S5 Coupe quattro,Z,227
2022,Audi,S5 Sportback quattro,Z,227
2022,Audi,S6 Sedan quattro,Z,254
2022,Audi,S7 Sportback quattro,Z,254
2022,Audi,S8 Sedan quattro,Z,323
2022,Audi,SQ5 quattro,Z,262
2022,Audi,SQ5 Sportback quattro,Z,262
2022,Audi,SQ7 quattro,Z,325
2022,Audi,SQ8 quattro,Z,325
2022,Audi,TT Coupe 45 TFSI quattro,X,218
2022,Audi,TT Roadster 45 TFSI quattro,X,218
2022,Audi,TT RS Coupe quattro,Z,235
2022,Audi,TTS Coupe quattro,Z,209
2022,Bentley,Bentayga,Z,309
2022,Bentley,Bentayga Speed,Z,383
2022,Bentley,Continental GT,Z,287
2022,Bentley,Continental GT Speed,Z,379
2022,Bentley,Continental GT Convertible,Z,294
2022,Bentley,Continental GT Convertible Speed,Z,395
2022,Bentley,Flying Spur,Z,323
2022,Bentley,Flying Spur,Z,373
2022,BMW,330i xDrive Sedan,Z,195
2022,BMW,430i xDrive Cabriolet,Z,202
2022,BMW,430i xDrive Coupe,Z,202
2022,BMW,530i xDrive Sedan,Z,206
2022,BMW,540i xDrive Sedan,Z,219
2022,BMW,750i xDrive Sedan,Z,279
2022,BMW,750Li xDrive Sedan,Z,279
2022,BMW,Alpina B7,Z,279
2022,BMW,Alpina B8 Gran Coupe,Z,279
2022,BMW,Alpina XB7,Z,321
2022,BMW,M235i xDrive Gran Coupe,Z,214
2022,BMW,M240i xDrive Coupe,Z,212
2022,BMW,M3 Sedan,Z,293
2022,BMW,M3 Competition Sedan,Z,292
2022,BMW,M3 Competition Sedan M xDrive,Z,296
2022,BMW,M340i xDrive Sedan,Z,214
2022,BMW,M4 Competition Cabriolet M xDrive,Z,301
2022,BMW,M4 Coupe,Z,293
2022,BMW,M4 Competition Coupe,Z,292
2022,BMW,M4 Competition Coupe M xDrive,Z,296
2022,BMW,M440i xDrive Cabriolet,Z,211
2022,BMW,M440i xDrive Coupe,Z,214
2022,BMW,M440i xDrive Gran Coupe,Z,224
2022,BMW,M5 Sedan,Z,322
2022,BMW,M5 Competition,Z,322
2022,BMW,M5 CS,Z,322
2022,BMW,M550i xDrive Sedan,Z,271
2022,BMW,M760i xDrive Sedan,Z,354
2022,BMW,M8 Cabriolet,Z,322
2022,BMW,M8 Cabriolet Competition,Z,322
2022,BMW,M8 Coupe,Z,322
2022,BMW,M8 Coupe Competition,Z,322
2022,BMW,M8 Gran Coupe,Z,322
2022,BMW,M8 Gran Coupe Competition,Z,322
2022,BMW,M850i xDrive Cabriolet,Z,279
2022,BMW,M850i xDrive Coupe,Z,271
2022,BMW,M850i xDrive Gran Coupe,Z,279
2022,BMW,X1 xDrive28i,Z,213
2022,BMW,X2 xDrive28i,Z,207
2022,BMW,X2 M35i,Z,207
2022,BMW,X3 xDrive30i,Z,230
2022,BMW,X3 M,Z,323
2022,BMW,X3 M Competition,Z,323
2022,BMW,X3 M40i,Z,241
2022,BMW,X4 xDrive30i,Z,230
2022,BMW,X4 M,Z,323
2022,BMW,X4 M Competition,Z,323
2022,BMW,X4 M40i,Z,241
2022,BMW,X5 xDrive40i,Z,241
2022,BMW,X5 M,Z,364
2022,BMW,X5 M Competition,Z,364
2022,BMW,X5 M50i,Z,302
2022,BMW,X6 xDrive40i,Z,241
2022,BMW,X6 M,Z,364
2022,BMW,X6 M Competition,Z,364
2022,BMW,X6 M50i,Z,302
2022,BMW,X7 xDrive40i,Z,256
2022,BMW,X7 M50i,Z,321
2022,BMW,Z4 sDrive30i,Z,199
2022,BMW,Z4 M40i,Z,223
2022,Bugatti,Chiron,Z,522
2022,Bugatti,Chiron Pur Sport,Z,608
2022,Bugatti,Chiron Super Sport,Z,608
2022,Buick,Enclave,X,263
2022,Buick,Enclave AWD,X,277
2022,Buick,Encore,X,201
2022,Buick,Encore AWD,X,214
2022,Buick,Encore GX,X,184
2022,Buick,Encore GX,X,185
2022,Buick,Encore GX AWD,X,201
2022,Buick,Envision,X,209
2022,Buick,Envision AWD,X,220
2022,Cadillac,CT4,Z,206
2022,Cadillac,CT4,Z,221
2022,Cadillac,CT4 AWD,Z,216
2022,Cadillac,CT4 AWD,Z,233
2022,Cadillac,CT4-V,Z,239
2022,Cadillac,CT4-V AWD,Z,244
2022,Cadillac,CT4-V Blackwing,Z,297
2022,Cadillac,CT4-V Blackwing,Z,303
2022,Cadillac,CT5,Z,207
2022,Cadillac,CT5,Z,252
2022,Cadillac,CT5 AWD,Z,222
2022,Cadillac,CT5 AWD,Z,260
2022,Cadillac,CT5-V,Z,258
2022,Cadillac,CT5-V AWD,Z,260
2022,Cadillac,CT5-V Blackwing,Z,346
2022,Cadillac,CT5-V Blackwing,Z,356
2022,Cadillac,Escalade 4WD,D,281
2022,Cadillac,Escalade 4WD,Z,345
2022,Cadillac,Escalade 4WD (No Stop-Start),Z,353
2022,Cadillac,XT4,Z,211
2022,Cadillac,XT4 AWD,Z,225
2022,Cadillac,XT5,Z,225
2022,Cadillac,XT5 AWD,Z,237
2022,Cadillac,XT5 AWD,X,263
2022,Cadillac,XT6 AWD,Z,239
2022,Cadillac,XT6 AWD,X,269
2022,Chevrolet,Blazer,X,221
2022,Chevrolet,Blazer,X,252
2022,Chevrolet,Blazer AWD,X,232
2022,Chevrolet,Blazer AWD,X,259
2022,Chevrolet,Camaro,Z,222
2022,Chevrolet,Camaro,Z,239
2022,Chevrolet,Camaro,X,251
2022,Chevrolet,Camaro,X,281
2022,Chevrolet,Camaro SS,Z,281
2022,Chevrolet,Camaro SS,Z,296
2022,Chevrolet,Camaro ZL1,Z,355
2022,Chevrolet,Camaro ZL1,Z,349
2022,Chevrolet,Colorado,X,257
2022,Chevrolet,Colorado,D,270
2022,Chevrolet,Colorado,X,263
2022,Chevrolet,Colorado 4WD,X,267
2022,Chevrolet,Colorado 4WD,D,283
2022,Chevrolet,Colorado 4WD,X,283
2022,Chevrolet,Colorado ZR2 4WD,D,326
2022,Chevrolet,Colorado ZR2 4WD,X,329
2022,Chevrolet,Corvette,Z,297
2022,Chevrolet,Equinox,X,198
2022,Chevrolet,Equinox AWD,X,208
2022,Chevrolet,Malibu,X,175
2022,Chevrolet,Malibu,Z,213
2022,Chevrolet,Silverado,X,274
2022,Chevrolet,Silverado,D,240
2022,Chevrolet,Silverado FFV,X,341
2022,Chevrolet,Silverado FFV,E,321
2022,Chevrolet,Silverado,X,314
2022,Chevrolet,Silverado,X,304
2022,Chevrolet,Silverado 4WD,X,306
2022,Chevrolet,Silverado 4WD Mud Terrain Tire,X,328
2022,Chevrolet,Silverado 4WD,D,272
2022,Chevrolet,Silverado 4WD (With Sport Mode),D,265
2022,Chevrolet,Silverado 4WD Mud Terrain Tire,D,298
